Reference, Value, Footprint, Datasheet, LCSC, Vendor, Description, Height, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number, Mouser Price/Stock, Digikey, MPN, MFGPN
"R38","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"R39","330k/1%","tom-passives:R_0402_1005Metric","","C25778","","","","","","","","","",""
"U9","TPS74701DRCR","artix7-pcie-v2:16624-01YE","","C105262","","","","","","","","","",""
"C15","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C35","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"R31","150k/1%","tom-passives:R_0402_1005Metric","","C25755","","","","","","","","","",""
"R32","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"U3","TLV62569DBVR","artix7-pcie-v2:SOT95P280X145-5N","","C141836","","","","","","","","","",""
"C5","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C7","10uF/25V/X7R","tom-passives:C_1206_3216Metric","","C13585","399-8153-1-ND","","","","","","","","","C3216X7R1E106M160AE"
"R15","150k/1%","tom-passives:R_0402_1005Metric","","C25755","","","","","","","","","",""
"R12","100k/1%","tom-passives:R_0402_1005Metric","","C25741","","","","","","","","","",""
"C14","47uF/10V/X7R","tom-passives:C_1206_3216Metric","","C96123","","","","","","","","","",""
"R13","300k/1%","tom-passives:R_0402_1005Metric","","C25774","","","","","","","","","",""
"L1","2.2uH/4.5A","tom-passives:L_MWSA0518S","","C169184","","","","","","","","","MWSA0402-2R2MT",""
"L5","2.2uH/4.5A","tom-passives:L_MWSA0518S","","C169184","","","","","","","","","MWSA0402-2R2MT",""
"U7","TLV62569DBVR","artix7-pcie-v2:SOT95P280X145-5N","","C141836","","","","","","","","","",""
"C10","4.7uF/10V/X5R","tom-passives:C_0402_1005Metric","","C23733","490-5915-1-ND","","","","","","","","",""
"C13","10uF/25V/X7R","tom-passives:C_1206_3216Metric","","C13585","399-8153-1-ND","","","","","","","","","C3216X7R1E106M160AE"
"R25","18k/1%","tom-passives:R_0402_1005Metric","","C25762","","","","","","","","","",""
